date,sales_revenue,units_sold,customer_acquisition,customer_churn,avg_order_value
2025-02-13,47242.98025282699,254,49,10,274.0121864306784
2025-02-14,50186.445703433805,262,56,14,289.9912459176307
2025-02-15,18237.65652815253,232,40,11,391.3959423090713
2025-02-16,62102.57095335839,260,44,15,284.78579402831696
2025-02-17,64277.065596016066,233,52,10,342.7755510724021
2025-02-18,51538.38148167844,242,42,8,382.9917045665574
2025-02-19,50747.94101627003,255,51,11,290.02528770347783
2025-02-20,59907.93582929833,244,43,20,365.8690386762787
2025-02-21,41681.33729823468,236,54,9,272.6253023095833
2025-02-22,63616.148280458525,258,47,9,491.6414311706154
2025-02-23,41286.211772924304,239,46,16,392.03385437974816
2025-02-24,48766.546803354206,227,46,10,310.54733142173
2025-02-25,43929.67926151185,278,37,11,375.7511371081481
2025-02-26,56192.50420645262,246,33,16,318.0448690509019
2025-02-27,27469.46542604758,240,42,8,388.7393924180552
2025-02-28,37104.80405245983,259,42,11,283.3503089586568
2025-03-01,42816.30196891825,227,45,8,387.06371225327933
2025-03-02,42287.16013811647,234,44,18,225.70412038033587
2025-03-03,67039.03430186393,234,49,12,100.0
2025-03-04,56892.88081930014,249,41,7,319.0126628567951
2025-03-05,33274.646907002374,240,37,14,183.39140590728758
2025-03-06,33556.9847484069,254,45,8,451.76494646379786
2025-03-07,70442.76282705928,307,46,7,317.553504027629
2025-03-08,78392.62012359622,257,57,12,243.54190055398507
2025-03-09,63186.80444472663,238,49,12,540.9094690313627
2025-03-10,41950.82649600887,273,41,13,197.14473291239833
2025-03-11,63778.41139846646,260,43,14,354.51234855465844
2025-03-12,70712.61703028224,259,39,13,439.17138995314207
2025-03-13,47268.38594631248,273,41,9,133.68243190184035
2025-03-14,41515.06808925359,265,34,16,345.315723246308
2025-03-15,53972.594548199406,262,43,13,333.17647716891054
2025-03-16,39082.00452355231,258,40,4,441.0853064281511
2025-03-17,37975.64322415728,278,46,11,309.350651334042
2025-03-18,61056.338466043264,279,44,11,348.01482490508346
2025-03-19,48200.68479635481,230,39,12,348.6283975737938
2025-03-20,73776.78988921689,228,48,9,447.82608198343456
2025-03-21,41024.46421715108,232,52,12,431.50102114616345
2025-03-22,57035.81669877091,254,45,12,358.21397998363847
2025-03-23,61544.885888990204,228,43,16,190.28414715675854
2025-03-24,43273.898945856134,247,37,9,284.78910962393786
2025-03-25,32435.016479574693,248,44,9,438.0891851161228
2025-03-26,43275.86987802926,250,47,12,357.91597113533464
2025-03-27,43753.48187460484,242,50,12,165.4517675552231
2025-03-28,67200.64484087763,270,46,11,397.02677198486657
2025-03-29,48844.963858981624,256,35,9,380.1249162137481
2025-03-30,72951.62400306022,213,43,12,507.40212478842034
2025-03-31,39098.4870547915,263,41,9,293.2563267143273
2025-04-01,36912.794372541124,252,46,19,461.8585928350842
2025-04-02,61186.91023745072,249,37,17,434.16643533829057
2025-04-03,28509.02909196027,262,39,13,381.8633366687163
2025-04-04,56346.038815753345,232,43,13,528.3586604585657
2025-04-05,57787.24324278046,250,50,12,414.8994907883633
2025-04-06,78222.49378202079,245,48,11,528.2467115914505
2025-04-07,72357.29738435027,217,41,15,349.23052574239557
2025-04-08,10000.0,257,32,9,171.83397339454632
2025-04-09,34068.94924543688,215,34,11,353.5389005763847
2025-04-10,52762.64364447357,238,29,9,382.88221892209776
2025-04-11,62868.932322463326,218,37,15,365.62056165612256
2025-04-12,11811.239078453393,250,46,10,390.27482750946365
2025-04-13,51983.06771122724,276,44,17,268.35778457664674
2025-04-14,58168.34188650244,270,45,11,352.84696446106017
2025-04-15,56315.36542911768,245,46,13,381.40556475620394
2025-04-16,60367.17298443433,247,41,14,475.86136763004913
2025-04-17,35646.92835845674,256,55,12,319.76866972839076
2025-04-18,26580.447823806513,242,35,11,446.5527346634134
2025-04-19,60025.86713886072,258,48,13,350.2369351432991
2025-04-20,38345.37782727358,252,51,12,357.82065733599205
2025-04-21,82512.50324531461,215,42,9,360.84150910120337
2025-04-22,45942.397334323534,244,55,6,254.36962928795472
2025-04-23,55676.26536578099,272,45,9,487.59318272533994
2025-04-24,33662.966784323726,237,50,9,378.08653934600227
2025-04-25,38362.76344626157,261,50,7,369.4588733238065
2025-04-26,35836.8773459321,247,48,13,386.77765344418685
2025-04-27,70262.30818283478,246,50,14,262.8584694207292
2025-04-28,28068.737025313058,241,46,16,504.1302599513791
2025-04-29,77669.34272704818,262,45,11,333.5443980866717
2025-04-30,51432.756314463244,242,40,9,329.8765520891981
2025-05-01,88443.42380953068,264,59,17,373.2024062591359
2025-05-02,61861.0478604262,277,49,11,313.8957220768207
2025-05-03,70239.85164905034,254,38,8,377.122780871332
2025-05-04,52758.860677537654,248,47,10,362.38087267589987
2025-05-05,43696.349402633445,282,32,16,469.93018016488367
2025-05-06,46488.58792508624,241,57,10,360.05144581340545
2025-05-07,45384.968814943815,253,49,13,386.0729353482462
2025-05-08,40957.37636319009,239,47,10,315.6882197089615
2025-05-09,47026.45226343018,230,46,11,456.58728424380536
2025-05-10,63215.883948192444,247,53,11,374.4713147594549
2025-05-11,55420.00441267608,252,53,10,438.2249858707188
2025-05-12,43208.47101457389,246,48,11,238.37693227174387
2025-05-13,46607.9707892498,270,51,13,316.93467140186027
2025-05-14,46565.145384702286,248,46,14,481.4988444090833
2025-05-15,53063.54263665447,243,40,13,450.9452006946645
2025-05-16,61553.08359229397,258,43,7,303.8021590375454
2025-05-17,62054.183488130744,248,47,10,401.8285096975729
2025-05-18,60571.17968767427,252,53,12,301.0897973515486
2025-05-19,61113.32425503158,254,43,9,344.60570306435955
2025-05-20,27481.03949599368,254,52,13,397.4961736036604
2025-05-21,46217.89510451601,247,33,16,347.1835749656468
2025-05-22,42220.59119826867,255,44,9,313.2090343220872
2025-05-23,47774.4861306632,254,39,12,460.5217385266063
2025-05-24,47950.506367513146,255,43,10,357.9768630639988
2025-05-25,65922.21910197855,275,46,12,216.11605109867338
2025-05-26,29909.773463818852,250,34,14,539.8931551540331
2025-05-27,46682.28840097346,294,50,15,428.2714492428621
2025-05-28,61669.136116935115,282,46,11,335.3953414841121
2025-05-29,10000.0,246,43,10,347.724577614099
2025-05-30,46667.18441203907,278,44,9,217.94470158880418
2025-05-31,48611.55944530584,236,42,15,337.4163167344524
2025-06-01,59297.474992964075,244,61,7,475.80291408543883
2025-06-02,43649.33622487074,252,49,12,304.79453395556857
2025-06-03,53257.62539629687,211,37,10,308.199852306222
2025-06-04,38051.156573579756,275,32,9,330.7115508256834
2025-06-05,37471.8547093215,275,42,10,451.9410916557497
2025-06-06,57719.8715994836,265,35,13,267.0417968626809
2025-06-07,65864.8423708196,242,48,10,227.5608522079585
2025-06-08,54310.83727537492,256,47,16,370.8505466465488
2025-06-09,68957.95839233382,238,39,11,336.94495430886303
2025-06-10,32827.17663330669,239,49,14,170.90382267298543
2025-06-11,53567.17322342718,265,38,16,420.56434500054263
2025-06-12,47329.56746939668,219,49,12,274.8704430581269
2025-06-13,72990.78689074186,263,52,11,304.67173554024583
2025-06-14,47021.95288910307,240,36,12,381.13677383146415
2025-06-15,57123.23333602183,243,42,12,369.3755907176146
2025-06-16,48365.78225460342,257,44,10,304.5577384722345
2025-06-17,49382.59199495447,240,39,11,409.8381195569575
2025-06-18,47450.67905881414,263,39,8,309.39089345770765
2025-06-19,67886.21557386924,239,47,16,234.79180549319256
2025-06-20,71402.56692263717,245,32,8,431.2795318172904
2025-06-21,43139.23532489628,232,47,13,373.96992526092964
2025-06-22,62781.72211626818,245,34,13,431.328959600081
2025-06-23,20525.29788252211,276,57,7,537.3290496423085
2025-06-24,59550.03245748079,256,41,14,391.0950802021566
2025-06-25,53071.36881461929,241,59,9,364.24019168944966
2025-06-26,36867.99490555591,217,29,11,253.41221575486452
2025-06-27,29864.945119336877,279,45,12,381.0080984663996
2025-06-28,48711.67339364284,260,45,14,308.5791741075063
2025-06-29,52710.52229672554,255,44,5,413.20886486678137
2025-06-30,62885.59067738322,260,45,19,202.17030801561938
2025-07-01,40333.75212245957,237,50,11,260.9412919215108
2025-07-02,35979.57558007135,239,37,13,320.46739198286093
2025-07-03,41293.32388953534,222,36,10,248.07810672248976
2025-07-04,51286.97896625862,254,47,16,229.45166777687342
2025-07-05,53276.24492674001,242,48,16,535.7302136967659
2025-07-06,31128.375734711997,205,41,13,389.0546703087299
2025-07-07,47197.07616396167,240,46,15,433.8632302960911
2025-07-08,62927.06754751206,214,54,16,334.1515600608108
2025-07-09,73422.77712739752,257,39,10,255.86623444622725
2025-07-10,14984.559834056163,252,45,9,399.29032252386696
2025-07-11,43933.08195927984,216,51,17,523.4208411318161
2025-07-12,50697.797934901515,228,42,11,270.0917851298378
2025-07-13,74805.6990895734,254,48,10,425.6710471908392
2025-07-14,41856.255802340114,261,37,16,265.0212556050835
2025-07-15,65898.56107520753,262,48,10,333.9761221380962
2025-07-16,45492.64300955973,253,43,7,399.12196713818713
2025-07-17,60357.3935061962,271,49,11,384.9866827206189
2025-07-18,42900.36558719461,256,45,16,397.0686978315713
2025-07-19,54756.53040065333,251,47,14,239.36981767861397
2025-07-20,44196.434834621155,241,50,7,383.14315779726206
2025-07-21,59402.561856811146,240,47,9,365.2711933844796
2025-07-22,59573.89185994559,249,41,9,350.7380389604211
2025-07-23,55411.40492896861,242,42,9,349.2438974606974
2025-07-24,64795.75419813286,252,35,19,320.7179823651286
2025-07-25,43044.51474572165,243,37,14,404.06526454644614
2025-07-26,73520.49169973894,238,40,15,377.2168779769938
2025-07-27,68465.8009431215,260,38,12,391.46688549964426
2025-07-28,47655.53850619124,249,48,10,360.9496555179861
2025-07-29,33626.45028707612,274,52,14,368.24143046042815
2025-07-30,49194.11432870065,257,38,10,469.21800188807015
2025-07-31,35853.86263514208,237,47,10,304.25095202365276
2025-08-01,27231.311567238965,259,53,16,290.03123197874226
2025-08-02,42867.64335500904,250,55,9,349.15113209628
2025-08-03,53617.62734667443,247,43,7,447.0870332820507
2025-08-04,27908.261787225838,222,57,10,471.31821200347264
2025-08-05,55286.64661914174,251,52,17,349.1944612557009
2025-08-06,57963.5867564505,273,41,10,406.68556497415994
2025-08-07,50058.71036789237,247,44,18,302.7079303570369
2025-08-08,42801.73626888181,277,44,14,457.32986359835013
2025-08-09,36471.60151086544,244,39,20,227.86074318753694
2025-08-10,30215.149427021184,243,42,10,447.84825324652934
2025-08-11,78880.52161183947,277,36,15,270.0286873419234
2025-08-12,49702.609998945016,268,50,9,482.37424848385854
2025-08-13,34872.8551913422,241,46,17,279.6025473892118
2025-08-14,32336.85274044223,259,45,12,407.21277950510074
2025-08-15,68799.0507758519,273,46,21,389.4106945277334
2025-08-16,58250.21286083861,259,52,21,325.54454326721276
2025-08-17,76309.89403525057,214,48,13,485.2565719753346
2025-08-18,52326.1674511126,262,48,8,269.00701315056983
2025-08-19,112721.55983483233,263,43,13,422.8129362488105
2025-08-20,54136.56289941844,226,54,9,226.63232333712654
2025-08-21,39917.062759703564,239,48,12,446.44466332108755
2025-08-22,48193.35939572617,258,48,12,192.14360446129115
2025-08-23,58100.32122888132,235,38,9,392.3827837654162
2025-08-24,53203.79050701003,239,42,20,228.0494998427054
2025-08-25,42105.983708577456,261,36,9,388.5870335567753
2025-08-26,73552.78840012116,239,37,12,451.1481884747956
2025-08-27,46770.33567210916,246,51,16,415.6291392134367
2025-08-28,37047.97012227594,269,50,19,443.73680945284934
2025-08-29,29901.542748295524,260,45,14,425.3534184128527
2025-08-30,38876.13889410815,257,33,13,348.3777990599596
2025-08-31,66126.37454925614,225,49,7,340.0057605117616
2025-09-01,51977.19362160582,255,43,14,352.7311266891294
2025-09-02,41354.10132052542,271,47,9,253.03064897983313
2025-09-03,65728.49939114708,235,38,16,315.0077305469112
2025-09-04,41909.54664240747,258,33,13,239.5643986948005
2025-09-05,35927.27368319552,253,45,10,389.03705418528943
2025-09-06,47694.055301451575,264,47,13,395.38569233149127
2025-09-07,37320.99020504149,226,37,9,378.9246817005913
2025-09-08,40212.53807677328,259,39,25,361.34657568517235
2025-09-09,66673.58288176602,219,42,6,354.7259665214512
2025-09-10,19733.22365865007,267,48,9,380.28835834521936
2025-09-11,50934.12845595759,271,50,7,332.2886950607034
2025-09-12,66178.08711465975,247,60,11,245.34979594171438
2025-09-13,37660.13119724278,258,35,5,142.41405083682605
2025-09-14,37720.99897875391,225,35,17,463.95963801326855
2025-09-15,43151.093321546454,260,44,11,316.4351289863724
2025-09-16,84201.20719206972,267,52,18,264.14306119588156
2025-09-17,47461.715668618315,243,45,17,190.39168204161405
2025-09-18,61011.468963683066,262,45,7,384.08665491014733
2025-09-19,41182.09660723968,250,41,10,206.09136882897178
2025-09-20,38659.12551967206,264,39,19,391.239999295811
2025-09-21,43826.312706994664,256,45,17,361.7503523322123
2025-09-22,77438.55468640687,253,54,10,292.1897193745474
2025-09-23,74164.4876152375,248,49,13,509.1417237379518
2025-09-24,52921.15971259836,249,54,12,322.4461816381103
2025-09-25,45440.637190435096,253,55,12,346.16882721594664
2025-09-26,46056.744587935194,239,42,9,202.24166084410248
2025-09-27,52719.003469730575,238,46,11,359.73132506560523
2025-09-28,63127.23461098665,251,43,15,302.0130947761855
2025-09-29,73142.3258698302,264,48,10,454.60832270624036
2025-09-30,27845.678464417808,239,38,9,472.87324432848345
2025-10-01,44638.83001296718,226,50,15,379.54524726524494
2025-10-02,40339.854998205854,237,43,8,245.99334213958656
2025-10-03,45144.162989212324,236,37,16,396.09433587272315
2025-10-04,50481.691523310874,260,39,16,391.3166768985087
2025-10-05,64169.916612983725,244,47,9,265.5411347815905
2025-10-06,38576.97706754248,220,39,7,453.6635586938722
2025-10-07,42964.853779705096,264,49,16,320.5903606687858
2025-10-08,42832.050988160954,269,57,15,342.9718018235479
2025-10-09,57104.86929106358,234,44,11,635.7242954608148
2025-10-10,60910.77988911125,239,36,15,323.6978001817267
2025-10-11,45777.75833524654,231,41,11,226.44661163414543
2025-10-12,74585.07129459768,269,50,16,385.7034994221367
2025-10-13,79120.02934082627,236,45,4,328.6925267543211
2025-10-14,56554.1330467789,243,63,18,268.3069763520376
2025-10-15,32576.121912401457,233,60,9,385.83464862974927
2025-10-16,37365.38518859889,223,54,14,258.4538475000208
2025-10-17,86091.71829079665,247,43,12,318.3758071016167
2025-10-18,67956.04422624863,256,40,12,313.18253001431185
2025-10-19,47981.76801047695,230,42,17,354.67020654276104
2025-10-20,50637.18494820179,277,41,12,265.5949925067889
2025-10-21,79851.53941638267,254,43,7,269.7358444043408
2025-10-22,54953.186496286995,272,50,14,386.11468757889577
2025-10-23,58292.1384806079,229,48,8,369.8983405639008
2025-10-24,54281.405328641034,278,66,13,525.9002803022111
2025-10-25,48532.29806336372,239,42,10,446.9792484332661
2025-10-26,32229.543052045905,261,43,14,349.1312091292217
2025-10-27,40540.7883042257,282,40,15,337.6525358403366
2025-10-28,49304.91482287423,275,37,12,388.65980691794607
2025-10-29,51291.49540484229,236,35,13,372.88914302358705
2025-10-30,45973.824537725006,254,41,12,323.33631558440777
2025-10-31,37186.750651044844,278,33,10,429.67032951155215
2025-11-01,46571.56171380252,247,44,10,294.5419430149186
2025-11-02,61602.06068687921,237,35,15,321.32105852319967
2025-11-03,36702.71583152247,266,38,12,437.28524367091245
2025-11-04,51917.27634467867,279,46,14,327.5893019773182
2025-11-05,81493.29413770972,273,48,7,337.66092977297933
2025-11-06,52003.31789266532,257,40,9,317.5374370679309
2025-11-07,40460.08184457371,237,49,10,396.59691048972695
2025-11-08,37165.27814847195,247,38,13,365.1676532964219
2025-11-09,59081.942530836954,261,46,14,433.3034472864632
2025-11-10,38983.07695398509,260,43,12,269.7293552098847
2025-11-11,59545.035721609136,256,40,10,342.3826860758261
2025-11-12,42398.08071120056,265,46,8,403.34517344040165
2025-11-13,43271.22075822311,249,45,17,296.6349442895059
2025-11-14,49102.24135616064,220,38,9,328.43974285768434
2025-11-15,42740.61047906686,268,44,8,354.08931028559516
2025-11-16,55804.55093172791,261,24,10,423.75905011817156
2025-11-17,46406.94961985587,254,47,16,380.95959212440414
2025-11-18,51644.828157801996,247,45,8,288.56566176479
2025-11-19,57944.79036774754,264,31,12,291.512553471713
2025-11-20,83999.91912145687,256,34,9,383.0034208461871
2025-11-21,31468.707279481212,267,49,8,509.4606458187724
2025-11-22,51569.88899318795,258,59,10,303.94167227776194
2025-11-23,48114.70082882094,243,49,10,239.495155124867
2025-11-24,64402.00843688572,259,45,14,293.740064290899
2025-11-25,71065.85791896055,239,37,9,317.0073739808468
2025-11-26,68012.73929920413,248,47,17,324.40879602323366
2025-11-27,43717.46234742084,253,48,8,375.7622975082131
2025-11-28,47447.25623462554,264,60,12,458.13555013665797
2025-11-29,49340.92346382015,277,55,9,364.0098942304564
2025-11-30,78865.57643551174,254,45,15,211.4374301373888
2025-12-01,35435.74789048435,225,54,8,443.0993956819284
2025-12-02,64594.897047387516,246,43,12,306.7315082889087
2025-12-03,56116.02538969235,241,43,14,243.12984485436743
2025-12-04,41312.82732502927,236,41,9,273.59371143671933
2025-12-05,44398.69183026368,262,56,14,410.23950625164207
2025-12-06,63510.54324474401,238,51,11,470.98697544693357
2025-12-07,33880.51387462648,267,44,12,271.1418246434624
2025-12-08,40742.28852846065,249,43,13,371.1013294719589
2025-12-09,63419.094614547284,246,45,12,348.45121320777554
2025-12-10,60377.42770959347,260,36,12,369.7268565802751
2025-12-11,50124.28707638733,239,44,13,353.1691732248421
2025-12-12,52061.47846138938,237,42,14,317.1463293991063
2025-12-13,54576.47029396113,289,48,14,239.16518202142947
2025-12-14,47037.8796835568,274,35,12,136.42097220950922
2025-12-15,51163.83115959142,247,37,7,327.12019148837345
2025-12-16,51575.26202091012,266,45,12,344.1366303110687
2025-12-17,17616.20672222506,258,42,13,463.1995688501507
2025-12-18,42986.5270943054,253,42,12,332.62333181810106
2025-12-19,49498.97326705951,262,49,9,372.2731143504941
2025-12-20,53806.60219711943,267,51,15,313.788944482866
2025-12-21,31950.089913460095,240,40,13,217.48769997944774
2025-12-22,53177.816912538015,242,33,12,466.4111877981737
2025-12-23,66425.87358599453,253,28,10,180.77954822598699
2025-12-24,58809.31614599619,243,40,9,416.5931194694999
2025-12-25,47396.41822423404,295,46,8,448.46795848320767
2025-12-26,31958.96216775424,238,56,21,293.0912330138378
2025-12-27,64545.02391296367,257,38,9,603.2225438127513
2025-12-28,35500.51186242169,246,51,16,241.7834637055497
2025-12-29,55415.524697359055,237,41,9,319.01454702469005
2025-12-30,29620.630852063696,245,46,14,350.23526902590754
2025-12-31,37977.48665432484,249,33,9,260.95797044536744
